Contiguous U.S. CEI (All Steps Combined) Annual (January-December) 1910-2022
Date,Percentage Area
1910,23.42
1911,24.94
1912,35.28
1913,19.14
1914,19.52
1915,21.10
1916,28.46
1917,34.24
1918,11.24
1919,20.38
1920,19.36
1921,25.78
1922,18.38
1923,20.12
1924,31.46
1925,12.48
1926,17.70
1927,19.98
1928,11.28
1929,25.98
1930,15.66
1931,26.60
1932,13.66
1933,23.70
1934,37.44
1935,11.34
1936,18.58
1937,13.40
1938,16.52
1939,19.08
1940,22.74
1941,28.74
1942,12.84
1943,11.90
1944,13.36
1945,11.88
1946,11.54
1947,8.86
1948,15.80
1949,15.16
1950,23.96
1951,25.08
1952,14.14
1953,22.06
1954,28.84
1955,20.74
1956,18.42
1957,15.06
1958,21.26
1959,11.24
1960,13.68
1961,14.14
1962,8.28
1963,18.20
1964,18.60
1965,14.64
1966,18.00
1967,8.22
1968,16.96
1969,11.92
1970,8.90
1971,11.14
1972,14.60
1973,18.06
1974,10.72
1975,18.44
1976,24.36
1977,9.66
1978,20.70
1979,24.90
1980,10.96
1981,19.30
1982,20.12
1983,26.26
1984,15.28
1985,17.54
1986,15.74
1987,20.60
1988,17.22
1989,17.44
1990,21.14
1991,16.42
1992,17.78
1993,21.96
1994,10.96
1995,15.74
1996,31.16
1997,15.10
1998,40.22
1999,24.22
2000,13.98
2001,17.24
2002,15.74
2003,24.22
2004,14.94
2005,17.22
2006,30.50
2007,27.16
2008,15.72
2009,13.54
2010,22.34
2011,25.42
2012,49.74
2013,17.96
2014,26.30
2015,41.14
2016,43.22
2017,36.64
2018,30.48
2019,30.62
2020,34.62
2021,41.12
2022,19.68
