"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2003-04",,,,,,,,,,,,,"0","4,S","26","4,S","26","4,S",,,,,"112","4,S,30,",,,,,,,,,"102.4","4,,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2003-05",,,,,,,,,,,,,"0","4,S","27","4,S","27","4,S",,,,,"115","4,S,20,",,,,,,,,,"106.7","4,,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2003-06",,,,,"1","1,S","1","1,S","0","3,S","0","3,S",,,,,,,"77","3,S,18,","0.51","1,,S,18,",,,,,,,"0.51","1,,,S",,,,,"84.2","3,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2003-07",,,,,,,,,,,,,"0","3,S","28","3,S","28","3,S",,,,,"110","3,S,03,",,,,,,,,,"100.5","3,,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2003-08",,,,,,,,,,,,,"0","4,S","27","4,S","26","4,S",,,,,"103","4,S,23,+",,,,,,,,,"99.3","4,,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2004-08",,,,,,,,,,,,,"0","5,S","26","5,S","26","5,S",,,,,"106","5,S,07,",,,,,,,,,"101.0","5,,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2004-09",,,,,,,,,,,,,"0","5,S","25","5,S","25","5,S",,,,,"103","5,S,20,",,,,,,,,,"98.7","5,,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2004-10",,,,,"2","5,S","0","5,S",,,,,"0","2,S","29","2,S","17","2,S",,,"0.04","5,,S,26,+","98","2,S,06,",,,,,"0.08","5,,,S",,,"89.9","2,,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2005-04",,,,,"1","5,S","0","5,S",,,,,"0","5,S","25","5,S","24","5,S",,,"0.06","5,,S,26,","107","5,S,19,",,,,,"0.06","5,,,S",,,"98.4","5,,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2005-08",,,,,,,,,,,,,"0","3,S","28","3,S","28","3,S",,,,,"107","3,S,04,",,,,,,,,,"100.3","3,,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2005-09",,,"548","4,S",,,,,"0","3,S","0","3,S","0","3,S","27","3,S","24","3,S","69","3,S,24,",,,"106","3,S,06,",,,"0","3,S",,,"86.1","4,S","95.5","3,,,S","76.6","3,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2005-12",,,,,,,,,,,,,"0","5,S","24","5,S","0","5,S",,,,,"80","5,S,08,",,,,,,,,,"75.3","5,,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2006-01",,,,,,,,,,,,,"0","5,S","15","5,S","0","5,S",,,,,"77","5,S,31,",,,,,,,,,"70.5","5,,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2006-02",,,,,,,,,"0","3,S","0","3,S","0","3,S","24","3,S","0","3,S","46","3,S,04,",,,"89","3,S,11,",,,,,,,"68.1","6,S","82.4","3,,,S","53.8","3,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2006-03",,,"194","5,S",,,,,"0","3,S","0","3,S","0","2,S","29","2,S","5","2,S","50","3,S,02,",,,"99","2,S,31,",,,"0","2,S",,,"72.5","5,S","86.2","2,,,S","58.9","3,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2006-05",,,"859","4,S",,,,,"0","2,S","0","2,S","0","3,S","28","3,S","28","3,S","75","2,S,05,",,,"118","3,S,28,",,,"0","3,S",,,"96.9","4,S","111.3","3,,,S","82.5","2,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2006-06",,,,,,,,,,,,,"0","2,S","28","2,S","28","2,S",,,,,"114","2,S,25,",,,,,,,,,"106.7","2,,,S",,
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2006-07",,,"876","1,S",,,,,"0",",S","0",",S","0","1,S","30","1,S","30","1,S","73",",S,23,",,,"110","1,S,02,","0","S","0","1,S",,,"94.2","1,S","104.0","1,,,S","84.4",",,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2006-08",,,"653","4,S",,,,,"0","4,S","0","4,S","0","1,S","30","1,S","30","1,S","77","4,S,31,+",,,"102","1,S,14,","0","S","0","1,S",,,"89.3","4,S","98.0","1,,,S","80.6","4,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2006-09",,,"557","5,S",,,,,"0","3,S","0","3,S","0","2,S","28","2,S","28","2,S","72","3,S,24,",,,"105","2,S,19,","0","S","0","2,S",,,"87.2","5,S","98.2","2,,,S","76.2","3,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2006-10",,,"479","3,S",,,,,"0","3,S","0","3,S","0",",S","31",",S","24",",S","63","3,S,30,",,,"101",",S,04,","0","S","0",",S",,,"82.0","3,S","94.0",",,,S","70.0","3,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2006-11",,,,,,,,,"0","4,S","0","4,S","0","2,S","28","2,S","4","2,S","44","4,S,28,",,,"92","2,S,04,",,,,,,,"70.6","6,S","83.2","2,,,S","57.9","4,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2006-12",,,"0","3,S",,,,,"0","1,S","0","1,S","0","2,S","24","2,S","0","2,S","42","1,S,31,+",,,"82","2,S,12,",,,"155","2,S",,,"59.3","3,S","72.8","2,,,S","45.8","1,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2007-01","0","S","0","5,S","0","3,S","0","3,S","0","3,S","0","3,S","0","3,S","17","3,S","0","3,S","35","3,S,07,","0.00","3,,S,31,+","83","3,S,30,",,,"233","3,S","0.00","3,,,S","56.2","5,S","72.3","3,,,S","40.2","3,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2007-02",,,,,"5",",S","3",",S","0","5,S","0","5,S","0","3,S","23","3,S","0","3,S","47","5,S,11,","1.45",",,S,10,","85","3,S,02,",,,,,"2.05",",,,S","63.3","7,S","76.2","3,,,S","50.5","5,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2007-03",,,"172","5,S","4","1,S","4","1,S","0","4,S","0","4,S","0","1,S","28","1,S","8","1,S","50","4,S,13,+","0.31","1,,S,11,","101","1,S,31,",,,"8","1,S","0.79","1,,,S","71.1","5,S","85.2","1,,,S","57.0","4,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2007-04",,,"592","5,S","1","1,S","1","1,S","0","4,S","0","4,S","0","2,S","28","2,S","28","2,S","56","4,S,02,","0.28","1,,S,20,","112","2,S,28,",,,"0","2,S","0.28","1,,,S","88.4","5,S","105.2","2,,,S","71.6","4,,,S"
"PKM00041718","KHANPUR, PK","28.65","70.683","88.0","2007-05",,,"737","5,S","1","2,S","0","2,S","0","2,S","0","2,S","0","3,S","28","3,S","28","3,S","72","2,S,26,","0.04","2,,S,20,","113","3,S,07,+",,,"0","3,S","0.04","2,,,S","93.3","5,S","107.8","3,,,S","78.8","2,,,S"
