year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.9614,-15.95,,,
1992.9865,-17.65,,,
1993.0123,-14.55,,,
1993.0407,-19.55,,,
1993.066,-24.95,,,
1993.0974,-29.05,,,
1993.1206,-27.35,,,
1993.1493,-21.55,,,
1993.1765,-18.65,,,
1993.2037,-19.15,,,
1993.2307,-22.65,,,
1993.2851,-25.95,,,
1993.3123,-19.75,,,
1993.3394,-19.55,,,
1993.3665,-16.85,,,
1993.3937,-21.75,,,
1993.4208,-26.45,,,
1993.448,-23.45,,,
1993.4751,-18.65,,,
1993.5021,-15.35,,,
1993.5294,-15.95,,,
1993.5837,-22.75,,,
1993.6117,-18.55,,,
1993.6381,-13.15,,,
1993.6652,-8.05,,,
1993.6923,-8.75,,,
1993.7189,-13.85,,,
1993.7466,-13.25,,,
1993.7738,-7.75,,,
1993.8009,-8.05,,,
1993.8553,-5.15,,,
1993.8824,-11.75,,,
1993.9098,-13.35,,,
1993.9367,-12.15,,,
1993.9639,-5.85,,,
1993.9907,-5.25,,,
1994.0181,-15.15,,,
1994.0452,-16.15,,,
1994.0723,-18.55,,,
1994.0995,-20.85,,,
1994.1267,-19.75,,,
1994.1539,-13.75,,,
1994.1809,-13.25,,,
1994.2353,-18.35,,,
1994.2624,-16.15,,,
1994.2896,-14.05,,,
1994.3168,-11.55,,,
1994.3439,-15.35,,,
1994.371,-20.25,,,
1994.3982,-23.35,,,
1994.4253,-20.45,,,
1994.4524,-14.05,,,
1994.5067,-20.15,,,
1994.5339,-18.45,,,
1994.561,-20.45,,,
1994.5882,-15.55,,,
1994.6154,-11.65,,,
1994.6425,-7.25,,,
1994.6697,-8.45,,,
1994.6968,-9.45,,,
1994.7239,-10.85,,,
1994.751,-8.65,,,
1994.7782,-6.25,,,
1994.8054,0.25,,,
1994.8325,-1.45,,,
1994.8868,-10.45,,,
1994.914,-11.75,,,
1994.9412,-3.15,,,
1994.9684,-3.55,,,
1994.9955,-8.05,,,
1995.0226,-12.15,,,
1995.0497,-15.75,,,
1995.0769,-8.35,,,
1995.104,-9.65,,,
1995.1312,-11.45,,,
1995.1583,-12.15,,,
1995.2127,-11.15,,,
1995.2398,-16.55,,,
1995.2669,-11.05,,,
1995.2941,-8.95,,,
1995.3212,-12.95,,,
1995.3755,-17.75,,,
1995.4028,-14.65,,,
1995.4298,-9.15,,,
1995.4569,-12.25,,,
1995.4841,-17.55,,,
1995.5384,-20.45,,,
1995.5655,-15.35,,,
1995.5927,-11.45,,,
1995.6199,-7.15,,,
1995.647,-10.75,,,
1995.674,-10.55,,,
1995.7013,-6.25,,,
1995.7285,2.15,,,
1995.7556,0.15,,,
1995.7827,-0.85,,,
1995.8371,-5.15,,,
1995.8643,-4.85,,,
1995.8899,-1.45,,,
1995.9456,-1.15,,,
1995.9728,-3.15,,,
1995.9998,-10.05,,,
1996.027,-13.05,,,
1996.0533,-11.55,,,
1996.0814,-7.25,,,
1996.1084,-4.05,,,
1996.1631,-11.15,,,
1996.1899,-14.35,,,
1996.2171,-11.05,,,
1996.2442,-6.75,,,
1996.2714,-9.95,,,
1996.2985,-14.45,,,
1996.3257,-14.75,,,
1996.3529,-12.35,,,
1996.38,-9.75,,,
1996.4071,-7.75,,,
1996.4342,-10.55,,,
1996.4886,-15.75,,,
1996.5157,-13.05,,,
1996.5429,-7.65,,,
1996.57,-2.55,,,
1996.5972,-4.75,,,
1996.6244,-9.75,,,
1996.6515,-9.75,,,
1996.6786,-9.95,,,
1996.7053,-2.55,,,
1996.7335,4.95,,,
1996.76,6.45,,,
1996.8144,13.05,,,
1996.8415,12.95,,,
1996.8687,9.15,,,
1996.8959,1.95,,,
1996.923,-1.65,,,
1996.9501,-5.75,,,
1996.977,-13.05,,,
1997.0044,-10.25,,,
1997.0316,-5.35,,,
1997.0587,-6.55,,,
1997.0858,-7.85,,,
1997.1402,-12.55,,,
1997.1673,-10.55,,,
1997.1944,-8.95,,,
1997.2216,-6.85,,,
1997.2487,-8.65,,,
1997.2759,-12.75,,,
1997.303,-15.45,,,
1997.3302,-11.45,,,
1997.3573,-6.15,,,
1997.3844,-8.55,,,
1997.4116,-8.45,,,
1997.4659,-15.15,,,
1997.4928,-9.65,,,
1997.5202,-6.05,,,
1997.5474,0.25,,,
1997.5745,-4.25,,,
1997.6288,-4.45,,,
1997.656,-0.25,,,
1997.683,4.55,,,
1997.7103,9.15,,,
1997.7374,6.55,,,
1997.7917,4.45,,,
1997.8189,6.75,,,
1997.846,10.95,,,
1997.8731,4.95,,,
1997.9001,-0.55,,,
1997.9274,-4.35,,,
1997.9546,-7.85,,,
1997.9817,-2.85,,,
1998.0083,-1.55,,,
1998.036,-0.85,,,
1998.0903,-8.15,,,
1998.1174,-8.45,,,
1998.1446,-6.05,,,
1998.1717,-3.95,,,
1998.1989,-3.65,,,
1998.2261,-6.95,,,
1998.2532,-10.85,,,
1998.2792,-9.15,,,
1998.3075,-4.55,,,
1998.3347,-3.45,,,
1998.3617,-6.95,,,
1998.4158,-15.95,,,
1998.4432,-13.75,,,
1998.4704,-10.05,,,
1998.4976,-3.35,,,
1998.5247,-4.45,,,
1998.5518,-9.25,,,
1998.6062,-7.05,,,
1998.6333,-4.25,,,
1998.6604,0.15,,,
1998.6876,0.65,,,
1998.7147,-4.85,,,
1998.7419,-4.35,,,
1998.7689,-2.25,,,
1998.8234,6.85,,,
1998.8505,2.85,,,
1998.8775,-3.75,,,
1998.9046,-9.85,,,
1998.9319,-3.65,,,
1998.9591,-2.95,,,
1998.9862,0.45,,,
1999.0133,-3.85,,,
1999.0405,-6.55,,,
1999.0948,-10.85,,,
1999.1256,4.05,,,
1999.1491,-0.95,,,
1999.1763,-6.05,,,
1999.2034,-11.45,,,
1999.2306,-10.05,,,
1999.2577,-7.55,,,
1999.2848,-5.05,,,
1999.3392,-7.95,,,
1999.3663,-13.45,,,
1999.3933,-15.95,,,
1999.4206,-10.15,,,
1999.4478,-11.25,,,
1999.4749,-6.95,,,
1999.502,-4.25,,,
1999.5292,-8.95,,,
1999.5566,-10.25,,,
1999.5834,-4.05,,,
1999.6106,-2.95,,,
1999.6377,2.15,,,
1999.692,-2.65,,,
1999.7192,1.65,,,
1999.7462,3.15,,,
1999.7735,11.65,,,
1999.8008,11.05,,,
1999.8278,5.75,,,
1999.855,-0.85,,,
1999.8822,-1.25,,,
1999.9092,1.75,,,
1999.9636,7.95,,,
1999.9907,6.05,,,
2000.0178,-2.75,,,
2000.045,-2.85,,,
2000.0721,3.75,,,
2000.0993,1.05,,,
2000.1264,-1.25,,,
2000.1536,-4.25,,,
2000.1807,-8.95,,,
2000.2078,-9.25,,,
2000.235,-0.85,,,
2000.2894,-2.25,,,
2000.3165,-8.15,,,
2000.3436,-12.55,,,
2000.3707,-11.95,,,
2000.3978,-8.05,,,
2000.425,-3.55,,,
2000.4522,-4.65,,,
2000.4794,-7.75,,,
2000.5065,-9.35,,,
2000.5337,-5.85,,,
2000.5879,-1.65,,,
2000.6149,0.45,,,
2000.6423,-0.85,,,
2000.6694,-6.25,,,
2000.6965,-1.65,,,
2000.7235,8.15,,,
2000.7509,13.35,,,
2000.778,12.45,,,
2000.8051,5.15,,,
2000.8595,5.05,,,
2000.886,7.95,,,
2000.9145,9.65,,,
2000.9409,7.05,,,
2000.9681,3.05,,,
2000.9952,2.75,,,
2001.0222,2.75,,,
2001.0766,4.25,,,
2001.1038,0.75,,,
2001.1309,-6.15,,,
2001.1581,-5.25,,,
2001.1852,0.75,,,
2001.2124,-0.35,,,
2001.2395,3.45,,,
2001.2666,0.75,,,
2001.2937,-2.55,,,
2001.321,-6.65,,,
2001.3482,-4.85,,,
2001.3752,0.65,,,
2001.4024,0.55,,,
2001.4296,-1.05,,,
2001.4567,-6.05,,,
2001.484,-0.55,,,
2001.511,2.35,,,
2001.5381,7.25,,,
2001.5653,4.85,,,
2001.5924,6.85,,,
2001.6195,0.55,,,
2001.6468,0.25,,,
2001.6738,5.75,,,
2001.701,16.05,,,
2001.7283,17.05,,,
2001.7553,15.25,,,
2001.7825,8.05,,,
2001.8096,4.35,,,
2001.8368,11.95,,,
2001.8639,16.85,,,
2001.8918,14.85,,,
2001.9182,11.25,,,
2001.9454,5.05,,,
2001.9725,3.95,,,
2001.9996,10.65,,,
2002.027,7.35,,,
2002.0537,,0.36,,
2002.054,5.35,,,
2002.0811,3.95,,,
2002.0819,,5.96,,
2002.1083,-1.35,6.56,,
2002.1352,,6.66,,
2002.1354,0.15,,,
2002.1626,4.75,5.26,,
2002.1897,5.25,,,
2002.1898,,-0.94,,
2002.2168,5.45,,,
2002.2169,,0.56,,
2002.2438,,-0.84,,
2002.244,-0.25,,,
2002.2711,-2.25,,,
2002.2713,,3.86,,
2002.2983,,-0.54,,
2002.2988,-6.05,,,
2002.3254,0.45,0.16,,
2002.3525,,-0.24,,
2002.3527,4.05,,,
2002.3797,3.75,1.56,,
2002.4069,1.45,0.66,,
2002.434,-5.35,-1.84,,
